[2026-07-21T14:05:59.668Z] [debug] [vite] connecting...
[2026-07-21T14:05:59.672Z] [error] THREE.WebGLRenderer: Error creating WebGL context.
[2026-07-21T14:05:59.685Z] [debug] [vite] connected.
[2026-07-21T14:08:27.735Z] [debug] [vite] connecting...
[2026-07-21T14:08:27.861Z] [debug] [vite] connected.
[2026-07-21T14:08:28.499Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-07-21T14:09:53.219Z] [debug] [vite] hot updated: /src/components/WhoWeAre.jsx
[2026-07-21T14:09:53.220Z] [debug] [vite] hot updated: /src/index.css
[2026-07-21T14:10:03.883Z] [debug] [vite] connecting...
[2026-07-21T14:10:03.896Z] [debug] [vite] connected.
[2026-07-21T14:10:03.919Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-07-21T14:10:23.807Z] [debug] [vite] connecting...
[2026-07-21T14:10:23.816Z] [debug] [vite] connected.
[2026-07-21T14:10:23.839Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-07-21T14:10:47.890Z] [error] WebSocket connection to 'ws://localhost:5210/?token=QqXgwI-ETWuh' failed: 
[2026-07-21T14:10:47.890Z] [log] [vite] server connection lost. Polling for restart...
[2026-07-21T14:10:47.936Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:10:48.943Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:10:49.945Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:10:50.947Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:10:51.951Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:10:52.954Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:10:53.958Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:10:54.989Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:10:56.023Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:10:57.092Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:10:58.157Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:10:59.272Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:00.776Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:02.412Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:05.234Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:09.164Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:11.645Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:16.045Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:18.931Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:22.428Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:25.252Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:29.543Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:34.045Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:37.990Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:43.720Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:48.226Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:52.471Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:11:55.282Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:00.620Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:05.451Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:09.162Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:13.842Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:16.509Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:20.587Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:26.117Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:30.909Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:35.097Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:37.244Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:41.431Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:46.485Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:52.408Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:12:56.010Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
