name	region	workout_days
תל מונד ילדים (ז-ט)	תל מונד	ראשון ורביעי
תל מונד נוער בנים (י-יב)	תל מונד	ראשון ורביעי
תל אביב נוער בנים (י-יב)	תל אביב	ראשון ורביעי
תל אביב נוער בנות (י-יב)	תל אביב	ראשון ורביעי
תל אביב נערים (ט-י)	תל אביב	ראשון ורביעי
תל אביב ילדים (ו-ח)	תל אביב	ראשון ורביעי
רעננה נערים (ח-ט)	רעננה	ראשון ורביעי
רעננה נוער בנות (י-יב)	רעננה	ראשון ורביעי
רעננה ילדים (ו-ז)	רעננה	ראשון ורביעי
רעננה נוער בנים (י-יב)	רעננה	ראשון ורביעי
רעננה נערות (ח-ט)	רעננה	ראשון ורביעי
רמת ישי ג-ד	רמת ישי	ראשון ורביעי
רמת ישי ה-ו	רמת ישי	ראשון ורביעי
קרית אונו נוער בנים (י-יב)	קרית אונו	שני וחמישי
קרית אונו בנות (י-יב)	קרית אונו	שני וחמישי
קרית אונו נערים (ז-ט)	קרית אונו	שני וחמישי
קריית טבעון ילדים (ז-ט)	קריית טבעון	ראשון ורביעי
קריית טבעון בנות (י-יב)	קריית טבעון	ראשון ורביעי
קריית טבעון נוער בנים (י-יב)	קריית טבעון	ראשון ורביעי
פתח תקווה בנים (י-יב)	פתח תקווה	ראשון ורביעי
עמק יזרעאל נערים (י)	עמק יזרעאל	שני וחמישי
עמק יזרעאל ילדות (ז'-ט')	עמק יזרעאל	שני וחמישי
עמק יזרעאל ילדים (ז-ט)	עמק יזרעאל	שני וחמישי
עמק יזרעאל נוער בנות (י-יב)	עמק יזרעאל	שני וחמישי
עמק יזרעאל נוער בנים (יא-יב)	עמק יזרעאל	שני וחמישי
עמק חפר בנים (יא-יב)	עמק חפר מערב	ראשון ורביעי
עמק חפר מערב ילדים (ז-ח)	עמק חפר מערב	ראשון ורביעי
עמק חפר  בנות (י-יב)	עמק חפר מערב	ראשון ורביעי
עמק חפר נערים (ט-י)	עמק חפר מערב	ראשון ורביעי
עמק חפר מזרח ילדים (ז-ט)	עמק חפר מזרח	שני וחמישי
עמק חפר מזרח נוער בנים	עמק חפר מזרח	שני וחמישי
עמק חפר מזרח נוער בנות (י׳-י״ב)	עמק חפר מזרח	שני וחמישי
כפר סבא נערים (ט-י)	כפר סבא	ראשון ורביעי
כפר סבא נוער בנות (י-יב)	כפר סבא	ראשון ורביעי
כפר סבא נערות (ט)	כפר סבא	ראשון ורביעי
כפר סבא ילדים (ז-ח)	כפר סבא	ראשון ורביעי
כפר סבא נוער בנים (יא-יב)	כפר סבא	ראשון ורביעי
כפר יונה נוער בנות	כפר יונה	ראשון ורביעי
כפר יונה ילדים (ו-ז)	כפר יונה	ראשון ורביעי
כפר יונה נערים (ח-ט)	כפר יונה	ראשון ורביעי
כפר יונה נוער בנים	כפר יונה	ראשון ורביעי
כוכב יאיר נוער בנים (יא-יב)	כוכב יאיר	ראשון ורביעי
כוכב יאיר ילדים (ז-ח)	כוכב יאיר	ראשון ורביעי
כוכב יאיר נערות (ט-י)	כוכב יאיר	ראשון ורביעי
כוכב יאיר בנות (יא-יב)	כוכב יאיר	ראשון ורביעי
כוכב יאיר נערים (ט-י)	כוכב יאיר	ראשון ורביעי
ירושלים בנים (י-יב)	ירושלים	שני וחמישי
זכרון יעקב חטיבות (ח-ט)	זכרון יעקב	שני וחמישי
זכרון יעקב נוער בנים (י-יב)	זכרון יעקב	שני וחמישי
זכרון יעקב נוער בנות (י-יב)	זכרון יעקב	שני וחמישי
זכרון יעקב ילדים (ו-ז)	זכרון יעקב	שני וחמישי
הרצליה נוער בנות (י-יב)	הרצליה	שני וחמישי
הרצליה יסודי	הרצליה	שני וחמישי
הרצליה נוער בנים (י-יב)	הרצליה	שני וחמישי
הרצליה ילדים (ו-ז)	הרצליה	שני וחמישי
הרצליה נערים (ח-ט)	הרצליה	שני וחמישי
הוד השרון ילדים (ז-ח)	הוד השרון	שני וחמישי
הוד השרון נוער בנים (יא-יב)	הוד השרון	שני וחמישי
הוד השרון נוער בנות (י-יב)	הוד השרון	שני וחמישי
הוד השרון נערים (ט-י)	הוד השרון	שני וחמישי
גבעת שמואל נערים (ח-ט)	גבעת שמואל	שני וחמישי
גבעת שמואל נוער בנים (י-יב)	גבעת שמואל	שני וחמישי
גבעת שמואל ילדים (ו-ז)	גבעת שמואל	שני וחמישי
אבן יהודה ילדים	אבן יהודה	שני וחמישי
אבן יהודה נוער בנים (יא-יב)	אבן יהודה	שני וחמישי
אבן יהודה נוער בנות (י-יב)	אבן יהודה	שני וחמישי
אבן יהודה נערים	אבן יהודה	שני וחמישי
